REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2025/04/01 00:05:00,4185.58,8.95,TRADE
VIC1,2025/04/01 00:10:00,4169.29,8.95,TRADE
VIC1,2025/04/01 00:15:00,4129.06,8.95,TRADE
VIC1,2025/04/01 00:20:00,4145.44,8.95,TRADE
VIC1,2025/04/01 00:25:00,4069.24,8.95,TRADE
VIC1,2025/04/01 00:30:00,4090.39,8.95,TRADE
VIC1,2025/04/01 00:35:00,4058.51,8.95,TRADE
VIC1,2025/04/01 00:40:00,4045.75,8.95,TRADE
VIC1,2025/04/01 00:45:00,3996.63,8.95,TRADE
VIC1,2025/04/01 00:50:00,3947.33,6.55,TRADE
VIC1,2025/04/01 00:55:00,3983.78,8.95,TRADE
VIC1,2025/04/01 01:00:00,3936.67,8.95,TRADE
VIC1,2025/04/01 01:05:00,3934.19,8.95,TRADE
VIC1,2025/04/01 01:10:00,3949.23,8.95,TRADE
VIC1,2025/04/01 01:15:00,3899.37,0,TRADE
VIC1,2025/04/01 01:20:00,3892.51,8.95,TRADE
VIC1,2025/04/01 01:25:00,3885.48,8.95,TRADE
VIC1,2025/04/01 01:30:00,3881.68,8.95,TRADE
VIC1,2025/04/01 01:35:00,3850.59,8.95,TRADE
VIC1,2025/04/01 01:40:00,3924.4,8.95,TRADE
VIC1,2025/04/01 01:45:00,3832.93,0,TRADE
VIC1,2025/04/01 01:50:00,3825.48,8.95,TRADE
VIC1,2025/04/01 01:55:00,3815.36,8.95,TRADE
VIC1,2025/04/01 02:00:00,3789.38,8.95,TRADE
VIC1,2025/04/01 02:05:00,3750.71,8.95,TRADE
VIC1,2025/04/01 02:10:00,3778.79,8.95,TRADE
VIC1,2025/04/01 02:15:00,3833.7,8.95,TRADE
VIC1,2025/04/01 02:20:00,3811.31,7.46,TRADE
VIC1,2025/04/01 02:25:00,3733.28,0,TRADE
VIC1,2025/04/01 02:30:00,3688.24,8.95,TRADE
VIC1,2025/04/01 02:35:00,3695.1,8.95,TRADE
VIC1,2025/04/01 02:40:00,3670.17,8.95,TRADE
VIC1,2025/04/01 02:45:00,3696.16,8.95,TRADE
VIC1,2025/04/01 02:50:00,3701.42,8.64,TRADE
VIC1,2025/04/01 02:55:00,3731.32,9,TRADE
VIC1,2025/04/01 03:00:00,3745.89,8.95,TRADE
VIC1,2025/04/01 03:05:00,3748.19,8.95,TRADE
VIC1,2025/04/01 03:10:00,3810.54,8.95,TRADE
VIC1,2025/04/01 03:15:00,3686.48,0,TRADE
VIC1,2025/04/01 03:20:00,3775.49,9,TRADE
VIC1,2025/04/01 03:25:00,3764.25,8.95,TRADE
VIC1,2025/04/01 03:30:00,3743.51,8.95,TRADE
VIC1,2025/04/01 03:35:00,3746.86,7.95,TRADE
VIC1,2025/04/01 03:40:00,3831.79,9,TRADE
VIC1,2025/04/01 03:45:00,3829.59,9,TRADE
VIC1,2025/04/01 03:50:00,3751,8.95,TRADE
VIC1,2025/04/01 03:55:00,3862.78,9,TRADE
VIC1,2025/04/01 04:00:00,3875.07,9,TRADE
VIC1,2025/04/01 04:05:00,3898.47,12,TRADE
VIC1,2025/04/01 04:10:00,3944.76,9,TRADE
VIC1,2025/04/01 04:15:00,3920.2,9,TRADE
VIC1,2025/04/01 04:20:00,4006.32,9,TRADE
VIC1,2025/04/01 04:25:00,4040.32,9,TRADE
VIC1,2025/04/01 04:30:00,3975.28,8.95,TRADE
VIC1,2025/04/01 04:35:00,4069.04,9,TRADE
VIC1,2025/04/01 04:40:00,4120.04,9.06,TRADE
VIC1,2025/04/01 04:45:00,4179.15,12,TRADE
